text,mood
Layin n bed with a headache  ughhhh...waitin on your call...,sadness
Funeral ceremony...gloomy friday...,sadness
Re-pinging @ghostridah14: why didn't you go to prom? BC my bf didn't like my friends,worry
Hmmm. http://www.djhero.com/ is down,worry
@charviray Charlene my love. I miss you,sadness
@kelcouch I'm sorry  at least it's Friday?,sadness
Choked on her retainers,worry
Ugh! I have to beat this stupid song to get to the next  rude!,sadness
@BrodyJenner if u watch the hills in london u will realise what tourture it is because were weeks and weeks late  i just watch itonlinelol,sadness
The storm is here and the electricity is gone,sadness
So sleepy again and it's not even that late. I fail once again.,sadness
@PerezHilton lady gaga tweeted about not being impressed by her video leaking just so you know,worry
How are YOU convinced that I have always wanted you? What signals did I give off...damn I think I just lost another friend,sadness
@raaaaaaek oh too bad! I hope it gets better. I've been having sleep issues lately too,worry
I ate Something I don't know what it is... Why do I keep Telling things about food,worry
so tired and i think i'm definitely going to get an ear infection.  going to bed &quot;early&quot; for once.,sadness
On my way home n having 2 deal w underage girls drinking gin on da bus while talking bout keggers......damn i feel old,worry
Damm servers still down  i need to hit 80 before all the koxpers pass me,worry
Fudge.... Just BS'd that whole paper.... So tired.... Ugh I hate school.....  time to sleep!!!!!!!!!!!,sadness
I HATE CANCER. I HATE IT I HATE IT I HATE IT.,worry
@ether_radio yeah :S i feel all funny cause i haven't slept enough  i woke my mum up cause i was singing she's not impressed :S you?,sadness
I need skott right now,worry
mmm much better day... so far! it's still quite early. last day of #uds,happiness
just picked up her Blackberry from the middle of the street! Both she and it are crushed!,worry
Why do I have the feeling I should be packing and hitting for SFO around this time of the year? I think I'm missing something...,worry
I'm having a problem with my photo here in twitter amf!!!...can't see my face!,sadness
why am i so tired?,worry
sucks not being able to take days off of work or have the money to take the trip  so sad,worry
@itsgabbith at once haha.  poor aby still gets sore!,worry
diesel yaris... 70mpg  so sad its not available in the US. That'd be awesome.,sadness
I want to buy this great album but unfortunately i dont hav enuff funds  its &quot;long time noisy&quot;,sadness
@Pokinatcha  in all honesty...pain   blech.,sadness
Ok ... the passengers ... no one is alive ... they're all dead ... you just don't know it til the end ... then you cry ...,sadness
@DavidCookLove ia so much! i haven't really been happy with any of cooks choices for singles.,worry
@vincew @stefanyngo  i fell asleep on the beach and didn't put on enough sunscreen  lol,sadness
So i think my son might have the flu cause I def. just cleaned up a stanky puke mess  Poor pumkpin,worry
...and all woman who transfer their first impressions (sexual/maternal) onto a less 'threatening' man -- are themselves as weak as 'Him',worry
is sad that shin ae got married...and it wasn't to alex,worry
@RachelLock22 ohh thursday i have exams.. all day  what about wednesday ?,sadness
@artfuldodga I love those 'it'sakey' USB sticks. We only have the 4GB in Australia,sadness
fresh prince and sleepy sleeps my nightly routine  gotta go to Dmv early tmrw,worry
@emmarler i am jealous of your mom talking to @taylorswift13. i want to see you all our twittering is making me miss you,worry
I can't sleep...I keep thinking about the puppy I played with today,worry
.. I'm suppposed to be sleep. But i got some much to do. &amp; i got that one part of the song stuck in my head &quot;your a jerk (iknow)&quot;  blaahh,worry
@sweeetnspicy hiii im on my ipod...i cant fall asleep,sadness
dont wanna work 11-830 tomorrow  but i get paid,sadness
feels sad coz i wasnt able to play with the guys!!!  http://plurk.com/p/wxiux,sadness
First ever dropped call on my mobile. On a call to @Telstra no less! ( being charged for data even though I have a data pack  ),worry
Darn these allergies! I don't like this time of year because of this! I never used to have this problem either,sadness
Oh no one minute too late! Oh well,worry
@cayogial i wanted to come to BZ this summer :/ not so sure anymore... a teacher's life in the summer SUCKS,sadness
ahh! big scary bug flying around my room!!!!!,worry
is up with a nasty cough i cant be sick i have a huge weekend ahead of me,worry
@neesabear early happy day of birth in case I don't make it! Very tired from therapy today n just taking my medicine!  misshu! Love ya!,sadness
Allergies suck ducks nuts.     &lt;=====8@8=====&gt;,sadness
wonders why her Karma points turned into 0.00.  http://plurk.com/p/wxj54,sadness
Is miserable  i feel like im gona cry  sux!,sadness
$#@! My nose stud fell out and I can't find it  Looks like I'll have to head into Amsterdam today and get a new one,worry
*sigh* I'm going to bed... I just don't feel right anymore...,sadness
Now I am depressed after watching so you think you can dance,sadness
Achieving a new appreciation on how a xml build script can really be painful and cumbersome,worry
@omfgiselle i cant do anything,worry
My head hurts so bad I could scream!,worry
i just go up and IM SO TIRED and my airmatras is broken somewhere and now im in even more pain,worry
New work wellness challenge not going well.  I committed to not check email between 10 pm and 6 am.  Failed on first day.  Twice,worry
New blog post: [Blog] auto insuran...: I just found that my auto insurance policy had been expired. ( I am too careless  ...) .. Meanw ...,worry
oh men!!!!!!......I really can't see my face........c'mon guys!!!,worry
my sole supporter is not my sole supporter,worry
@Emilyyy16 urgh stop it guys,worry
is still missing her husband.    I really want him home.,sadness
I miss my puppy,sadness
@nzdeany I've given up on pizza - kids would never let me have my fav  (the hot ones),sadness
Up reading tabloids about other people's lives...thinking what I'm gonna do with mine when my baby leaves?,worry
@BarbSchaefer yearling in pet home died... very sad for their whole family,sadness
I got a giant splinter stuck up underneath my finger nail today at Muppets...it hurt.  But I got to go to First Aid for the first time!,worry
is feeling sad... for some reason..  http://plurk.com/p/wxji3,worry
well fuck- this new pain med has an odd warning that actually applies to me. i can't take this. -chan is displeased.,sadness
just uploaded my new blog... a painful story about an 80s year old man who cried because he wanted to die... very sad,sadness
I just saw pics from this past Thanksgiving and am sad because Grandma was in them.,sadness
@jertronic it wont let me,worry
Took a shift tomorrow.    I don't really feel like working right now.,sadness
but now i have no money for a phone,sadness
Spent last night in A&amp;E (ER). Wife tangled wheels with Daughter &amp; hit the deck. Dislocation &amp; fracture resulted.,worry
@TheLastDoctor 9 days  I'm about ready to visit Torchwood and see if they've heard anything,worry
Too bad the Red Devils.. disappointing to say the least,sadness
why are plane tickets so expensive,worry
Needs a job BADLY!!!,worry
@AlexanderGWhite daaammmnnnnn I do wish I was there.,sadness
Went to Di Bella coffee roasters today and asked for a job...   The person I needed to speak to is on holiday...  #fb,worry
@yuki_hime I played up until the latter parts of the voodoo village part co-op until I lost my usual partner,sadness
is a bad friend,sadness
@lenje - Still a pity it comes with no lamb though,sadness
@bloomsday16  I'm sorry to hear that. Here is my optimist: Things will get better. For all of us.,sadness
people in my house do not know how to close doors,worry
@munchkinhugs I don't like the possibility of the left side of my brain hurting because of the thing called a VP shunt and possible death,worry
Had to cancel wow for now,sadness
wants to make a music profile but i don't have money i don't know how to write music i don't know how to play an instrument and no studio,worry
@fairyfroggie But yeah...I'm sad about my &quot;Ravenclaw&quot; account. I love that account to bits.,sadness
@__sugar oh no  i am always here ;) &lt;3,worry
Up late with nothin 2 do.....,sadness
i think the vog is making me sicker than i think. feeling slightly achy,worry
i am doing homework it sux big time maths is the worst!!!!!!,worry
sometimes i wish things could go back to the way they were the beginning of last summer,sadness
i'm sooooooooooooo confused,worry
Chillin with the roomies. Can't wait for the zombie CLWN CR. Its gonna be 6-8 weeks,happiness
Cute Malay girl came to seemy room for rent - sadly think it was for her guyfreind   bit misleading and disappointing LOL,sadness
not super keen on the drive home through the rain.. additional concentration required that i don't really wanna deal with,worry
@seemouserun so I tried jumping without the trampoline and its like thud* thud*  shouldn't have eaten that cookie.  http://myloc.me/1XIz,worry
It's pissing me off and not letting me follow ericka,sadness
Is going to sleep not peaceful  wanted to hear him say Good Night but that didn't happen  Good Night everyone....,sadness
my mums trying to make me feel ebtter about stopping voting adn not winning shortstack. i almost cried.,sadness
I have forgot the live with the Jonas Brothers on Facebook,worry
I haven't seen Muffin in two whole days!,sadness
@YumiFujii i'll miss y'all back... give @LesleyBoudy my regards...,sadness
my twitter has been hacked again,worry
Just found mj mouse flats at DJs. Of course there are none left in my size,sadness
@xoshayzers i knoww  things won't be the samee &lt;/3,sadness
@vinylvickxen i kno i doooo!!!!!!!!!! yall partyin with out me,happiness
Decided that no matter how good my hair looks curly it doesn't justify the burn I get from the curler! My hands covered  I suck at it!,worry
Going to sleep. Gonna fall asleep playing apps again. Tmrw is going to suck,sadness
sprained my ankle  like really badly and tore some stuffs. it hurts! and its my birthday weekend,worry
I can't believe the Metal Gear Solid song was stolen    I'm so disappointed  http://bit.ly/YKkSu,sadness
@MacZombieRawr  I wish I had Left 4 Dead. But first I'd need something to play it on...,sadness
I spilled my beer all over my leg. Wasted half my beer.  Home now. I met a cute girl. Good conversation.,happiness
my teeth and head hurts,sadness
I HATE rob zombie movies. &amp; the smell of weed. Vommmm.,sadness
